account_article_source_id,time_published,time_created
1030841,1441893660,1441898765
1031031,1441898640,1441899819
1031223,1441898460,1441900803
1031415,1441899840,1441901647
1031668,1441900020,1441903193
1031720,1441902420,1441903545
1031872,1441902900,1441904601
1032002,1441904040,1441905584
1032134,1441900860,1441906288
1032110,1441901220,1441906148
1032133,1441905300,1441906288
1032501,1441905060,1441908960
1032502,1441902900,1441908960
1032578,1441905480,1441909662
1033875,1441909923,1441922522
1032697,1441909922,1441910715
1032815,1441910700,1441911699
1032888,1441911300,1441912333
1033019,1441910460,1441913246
1033087,1441911420,1441913878
1033407,1441916280,1441917462
1033543,1441903320,1441918798
1033622,1441914960,1441919641
1033643,1441918980,1441919852
1033651,1441917060,1441919992
1033717,1441917900,1441920696
1033953,1441900020,1441922734
1034066,1441920360,1441923226
1034140,1441923840,1441924772
1034322,1441922040,1441927703
1036850,1441946340,1441947015
1036867,1441946940,1441947296
1036891,1441906260,1441947507
1036995,1441947600,1441948140
1036996,1441947600,1441948140
1037102,1441948140,1441948561
1037153,1441947600,1441948843
1037195,1441946520,1441949194
1037304,1441949940,1441950248
1037336,1441947000,1441950530
1037440,1441950660,1441951443
1037713,1441947600,1441953270
1037525,1441948680,1441951865
1037850,1441953600,1441954255
1037891,1441951020,1441954747
1037933,1441947600,1441954957
1038020,1441953300,1441955590
1038119,1441955520,1441956292
1038180,1441952520,1441956785
1038256,1441947600,1441957207
1038513,1441954860,1441958684
1038551,1441958160,1441958894
1038827,1441957500,1441960854
1038851,1441947600,1441960985
1038852,1441956840,1441960985
1039252,1441958220,1441963023
1039750,1441959900,1441965764
1039880,1441965842,1441966395
1040012,1441963440,1441967098
1040043,1441962900,1441967309
1040192,1441967220,1441968154
1040221,1441966680,1441968294
1040713,1441968900,1441971426
1040712,1441967460,1441971426
1040776,1441962780,1441971778
1040949,1441966500,1441972973
1041013,1441969980,1441973464
1041057,1441972080,1441973816
1041145,1441968960,1441974450
1041488,1441968120,1441976839
1042315,1441977840,1441981969
1041660,1441977660,1441978245
1041775,1441947600,1441978948
1042434,1441976640,1441982602
1042703,1441981560,1441983797
1042704,1441980780,1441983797
