account_article_source_id,time_published,time_created
1036513,1441944000,1441944215
1044379,1441991270,1441991304
1048725,1442030400,1442030408
1053582,1442087200,1442087259
1054073,1442096084,1442096150
1063678,1442203200,1442203370
1073405,1442264747,1442264789
1076101,1442289600,1442289751
1088389,1442376000,1442376194
1102323,1442439443,1442439475
1104126,1442462400,1442462432
1119033,1442520372,1442520396
1121542,1442548800,1442548992
1143913,1442606850,1442606926
1145894,1442635200,1442635342
1151257,1442723597,1442723645
1158130,1442808000,1442808058
1164306,1442851525,1442851536
1165894,1442864717,1442865097
1165930,1442865482,1442865671
1181336,1442980800,1442981026
1191762,1443067200,1443067319
1198066,1443109632,1443110916
1206778,1443153600,1443153922
1270415,1443153600,1443612641
1270422,1442851525,1443612654
1270423,1442808000,1443612654
1270425,1442635200,1443612654
1270427,1442548800,1443612654
1270428,1442520372,1443612654
1270429,1442462400,1443612654
1270430,1442439443,1443612654
1216549,1443240000,1443240095
1221648,1443309481,1443309533
1281680,1443309481,1443665406
1229645,1443412800,1443412969
1263135,1443552117,1443552215
1281678,1443552117,1443665403
1270411,1443552117,1443612634
1270412,1443412800,1443612636
1270413,1443309481,1443612639
1270414,1443240000,1443612641
1270416,1443109632,1443612643
1270417,1443067200,1443612645
1270418,1442980800,1443612648
1270420,1442865482,1443612653
1270421,1442864717,1443612654
1270424,1442723597,1443612654
1270426,1442606850,1443612654
1270431,1442376000,1443612655
1281679,1443412800,1443665406
1281681,1443240000,1443665408
1281682,1443153600,1443665410
1281683,1443109632,1443665412
1281684,1443067200,1443665414
1281685,1442980800,1443665416
1281686,1442865482,1443665418
1281687,1442864717,1443665419
1281688,1442851525,1443665419
1281689,1442808000,1443665419
1281690,1442723597,1443665419
1281691,1442635200,1443665419
1281692,1442606850,1443665419
1281693,1442548800,1443665419
1281694,1442520372,1443665420
1281695,1442462400,1443665420
1281696,1442439443,1443665420
1281697,1442376000,1443665420
1282231,1443672000,1443672091
1285675,1443699959,1443699970
1290119,1443727450,1443729132
1292402,1443749732,1443751714
1293925,1443749732,1443766298
1300951,1443821142,1443822670
1302293,1443845757,1443847798
1305885,1443899040,1443899883
1308341,1443899040,1443947867
1308342,1443845757,1443947869
1308343,1443821142,1443947871
1308344,1443758400,1443947874
1308345,1443749732,1443947876
1308346,1443727450,1443947878
1308347,1443699959,1443947878
1308348,1443672000,1443947878
1313801,1444017600,1444018445
1347711,1444190400,1444191937
1347712,1444190400,1444191937
1364546,1444276800,1444277825
1371408,1444320584,1444320603
1373962,1444342371,1444342508
1375936,1444363200,1444363507
1387804,1444449600,1444449709
