account_article_source_id,time_published,time_created
1030862,1441898814,1441898821
1030863,1441898814,1441898822
1030864,1441898814,1441898823
1030865,1441898814,1441898823
1030866,1441898814,1441898824
1030867,1441898814,1441898828
1031542,1441902359,1441902361
1031543,1441902359,1441902363
1031544,1441902359,1441902365
1031680,1441903253,1441903256
1032096,1441906087,1441906090
1032097,1441906087,1441906091
1032098,1441906087,1441906092
1032479,1441908767,1441908769
1032509,1441908978,1441908980
1033501,1441918355,1441918358
1033677,1441920152,1441920153
1038958,1441961656,1441961660
1038960,1441961656,1441961661
1038966,1441961656,1441961661
1038969,1441961656,1441961662
1040212,1441968262,1441968265
1040213,1441968262,1441968265
1040214,1441968262,1441968266
1043327,1441986036,1441986044
1043328,1441986036,1441986045
1043330,1441986036,1441986046
1043331,1441986036,1441986046
1043332,1441986036,1441986046
1043335,1441986036,1441986048
1043339,1441986036,1441986049
1043340,1441986036,1441986049
1045195,1441997725,1441997730
1045196,1441997725,1441997738
1045197,1441997725,1441997740
1045198,1441997725,1441997740
1045199,1441997725,1441997741
1045931,1442004757,1442004761
1045932,1442004757,1442004761
1046468,1442012873,1442012875
1050782,1442051946,1442051949
1052334,1442071705,1442071709
1052335,1442071705,1442071710
1052336,1442071705,1442071710
1052337,1442071705,1442071710
1053962,1442094240,1442094242
1056766,1442134399,1442134401
1060963,1442177507,1442177512
1060964,1442177507,1442177513
1060966,1442177507,1442177513
1060968,1442177507,1442177515
1060969,1442177507,1442177516
1066061,1442220649,1442220652
1066062,1442220649,1442220652
1066063,1442220649,1442220653
1070328,1442244722,1442244732
1070329,1442244722,1442244733
1070330,1442244722,1442244733
1070331,1442244722,1442244734
1070332,1442244722,1442244735
1070333,1442244722,1442244735
1070334,1442244722,1442244736
1070335,1442244722,1442244737
1070337,1442244722,1442244737
1070338,1442244722,1442244738
1071840,1442255435,1442255439
1071842,1442255435,1442255439
1071843,1442255435,1442255440
1072477,1442260385,1442260387
1072478,1442260385,1442260388
1075160,1442275947,1442275951
1075161,1442275947,1442275951
1081529,1442325956,1442325965
1081530,1442325956,1442325966
1081532,1442325956,1442325967
1081533,1442325956,1442325968
1081534,1442325956,1442325968
1081535,1442325956,1442325969
1081536,1442325956,1442325969
1081537,1442325956,1442325970
1081538,1442325956,1442325970
1081539,1442325956,1442325970
1081898,1442327753,1442327760
1081899,1442327753,1442327762
1081900,1442327753,1442327763
1081901,1442327753,1442327764
1081902,1442327753,1442327766
1082615,1442331288,1442331289
1083385,1442335193,1442335200
1083386,1442335193,1442335200
1083387,1442335193,1442335200
1083388,1442335193,1442335202
1083525,1442336097,1442336099
1083981,1442339142,1442339144
1083982,1442339142,1442339145
1084721,1442345165,1442345166
