account_article_source_id,time_published,time_created
1031962,1441905233,1441905233
1032066,1441905866,1441905867
1032395,1441908346,1441908347
1037915,1441954867,1441954867
1038505,1441958632,1441958632
1039023,1441961799,1441961800
1041012,1441973456,1441973456
1041151,1441974579,1441974579
1043717,1441987874,1441987875
1044413,1441991510,1441991510
1049617,1442039644,1442039645
1050867,1442052581,1442052582
1051112,1442055502,1442055503
1052149,1442069226,1442069227
1052586,1442074669,1442074670
1057253,1442138479,1442138480
1057734,1442142957,1442142960
1057841,1442144403,1442144405
1058543,1442152807,1442152809
1059965,1442165258,1442165258
1063469,1442201240,1442201240
1063784,1442203892,1442203892
1064263,1442208645,1442208646
1064493,1442210513,1442210513
1064586,1442211005,1442211005
1064714,1442212404,1442212405
1064939,1442214142,1442214143
1065398,1442216876,1442216876
1066756,1442224163,1442224163
1067635,1442229084,1442229085
1067852,1442230469,1442230470
1067925,1442231030,1442231031
1067962,1442231312,1442231312
1068053,1442232076,1442232076
1070829,1442247897,1442247897
1071584,1442253117,1442253118
1071965,1442256420,1442256420
1071977,1442256491,1442256492
1073367,1442264473,1442264474
1076048,1442289656,1442289656
1076307,1442291132,1442291132
1077381,1442301768,1442301768
1077646,1442303364,1442303365
1078595,1442308816,1442308817
1079485,1442314742,1442314742
1080362,1442320486,1442320487
1080479,1442321258,1442321259
1080728,1442322515,1442322516
1081164,1442324271,1442324271
1082067,1442328446,1442328446
1082865,1442332485,1442332485
1083185,1442334151,1442334151
1083560,1442336382,1442336382
1083746,1442337637,1442337638
1085069,1442349326,1442349327
1085091,1442349608,1442349609
1087780,1442367013,1442367013
1088951,1442381892,1442381892
1089037,1442382665,1442382666
1089748,1442388207,1442388207
1091758,1442399990,1442399990
1092603,1442405995,1442405996
1092993,1442408144,1442408144
1098171,1442420446,1442420447
1099807,1442423017,1442423018
1102593,1442441331,1442441332
1103081,1442449624,1442449624
1103189,1442451634,1442451634
1104591,1442466975,1442466975
1104980,1442469817,1442469818
1105211,1442471704,1442471704
