account_article_source_id,time_published,time_created
1079385,1442000000,1442000600
1231389,1442000300,1442000600
1065601,1442000600,1442000600
1070646,1442000900,1442001500
1357695,1442001200,1442001500
1231987,1442001500,1442001500
1032042,1442001800,1442002400
1237294,1442002100,1442002400
1052702,1442002400,1442002400
1227599,1442002700,1442003300
1185431,1442003000,1442003300
1068379,1442003300,1442003300
1184407,1442004500,1442005100
1231390,1442004800,1442005100
1108298,1442005100,1442005100
1043031,1442005400,1442006000
1351097,1442005700,1442006000
1066596,1442006000,1442006000
1342442,1442006300,1442006900
1318308,1442006600,1442006900
1355219,1442006900,1442006900
1185980,1442007200,1442007800
1159670,1442007500,1442007800
1384192,1442007800,1442007800
1042109,1442008100,1442008700
1377939,1442008400,1442008700
